"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2021","8.8374","8.8445","8.8594","8.8243","112.27K","0.15%"
"05/14/2021","8.8242","8.8747","8.8809","8.8312","3.99K","-0.50%"
"05/13/2021","8.8685","8.8742","8.8857","8.8590","47.62K","0.01%"
"05/12/2021","8.8678","8.8468","8.8889","8.8366","144.00K","0.32%"
"05/11/2021","8.8399","8.8485","8.8588","8.8231","145.49K","-0.03%"
"05/10/2021","8.8424","8.8389","8.8573","8.8228","110.33K","0.07%"
"05/07/2021","8.8359","8.8773","8.8923","8.8327","124.46K","-0.47%"
"05/06/2021","8.8780","8.9162","8.9256","8.8680","112.02K","-0.41%"
"05/05/2021","8.9147","8.9227","8.9500","8.9045","130.23K","-0.18%"
"05/04/2021","8.9311","8.9227","8.9555","8.9072","144.56K","0.17%"
"05/03/2021","8.9158","8.9398","8.9446","8.9062","68.51K","-0.32%"
"04/30/2021","8.9441","8.9044","8.9542","8.8958","151.04K","0.52%"
"04/29/2021","8.8977","8.8865","8.9228","8.8666","119.73K","0.16%"
"04/28/2021","8.8836","8.8973","8.9230","8.8745","117.90K","-0.08%"
